,Geo,Name,Website,Wiki
0,,Hirshhorn Museum and Sculpture Garden,http://hirshhorn.si.edu/,/wiki/Hirshhorn_Museum_and_Sculpture_Garden
1,"(Decimal('38.89999999999999857891452847979962825775146484375'), Decimal('-77.0294444400000060113598010502755641937255859375'))",National Museum of Women in the Arts,,/wiki/National_Museum_of_Women_in_the_Arts
2,"(Decimal('38.9113888899999977866173139773309230804443359375'), Decimal('-77.0466666699999933598519419319927692413330078125'))",Phillips Collection,http://www.phillipscollection.org/,/wiki/Phillips_Collection
3,"(Decimal('38.913872220000001789230736903846263885498046875'), Decimal('-77.063472219999994194949977099895477294921875'))",Dumbarton Oaks,,/wiki/Dumbarton_Oaks
4,"(Decimal('38.8977777799999984154055709950625896453857421875'), Decimal('-77.0233333299999998189377947710454463958740234375'))",Smithsonian American Art Museum,http://americanart.si.edu/,/wiki/Smithsonian_American_Art_Museum
5,,US Art Gallery (page does not exist),,/w/index.php?title=US_Art_Gallery&action=edit&redlink=1
6,"(Decimal('38.89789999999999992041921359486877918243408203125'), Decimal('-77.0229000000000070258465711958706378936767578125'))",National Portrait Gallery (United States),http://www.npg.si.edu/,/wiki/National_Portrait_Gallery_(United_States)
7,"(Decimal('38.92181389000000280020685750059783458709716796875'), Decimal('-77.0891166699999956790634314529597759246826171875'))",Kreeger Museum,http://www.kreegermuseum.org/,/wiki/Kreeger_Museum
8,,Freer Gallery of Art,http://www.asia.si.edu/,/wiki/Freer_Gallery_of_Art
9,"(Decimal('38.88799300000000158661350724287331104278564453125'), Decimal('-77.02645599999999603824107907712459564208984375'))",Arthur M. Sackler Gallery,http://www.asia.si.edu/,/wiki/Arthur_M._Sackler_Gallery
10,"(Decimal('38.891469999999998208295437507331371307373046875'), Decimal('-77.0200099999999991950971889309585094451904296875'))",National Gallery of Art,http://www.nga.gov/,/wiki/National_Gallery_of_Art
11,"(Decimal('36.7667000000000001591615728102624416351318359375'), Decimal('3.04999999999999982236431605997495353221893310546875'))",Museum of Modern Art of Algiers,,/wiki/Museum_of_Modern_Art_of_Algiers
12,,Museum of Popular Arts and Traditions,,/wiki/Museum_of_Popular_Arts_and_Traditions
