,Name,Twitter,URL
0,Guggenheim,guggenheim,https://www.guggenheim.org/
1,Metropolitan Museum of Art,metmuseum,https://www.metmuseum.org/
2,Museum of Modern Art (MoMA),museummodernart,https://www.moma.org/
3,Whitney Museum of American Art,whitneymuseum,https://whitney.org/
4,Brooklyn Museum,brooklynmuseum,https://www.brooklynmuseum.org/
5,Frick Collection,frickcollection,https://www.frick.org/
6,The Morgan Library & Museum,morganlibrary,https://www.themorgan.org/
7,The Cloisters,,https://metmuseum.org/visit/met-cloisters
8,Dahesh Museum of Art,DaheshShop,http://www.daheshmuseum.org/
9,Asia Society,asiasociety,https://asiasociety.org/
10,Neue Galerie,NeueGalerieNY,https://www.neuegalerie.org/
11,Hispanic Society of America,HSAmuseum,http://hispanicsociety.org/
12,Museum of the City of New York,museumofcityNY,https://www.mcny.org/
13,Cooper-Hewitt Museum,cooperhewitt,https://www.cooperhewitt.org/
14,New Museum of Contemporary Art,newmuseum,https://www.newmuseum.org/
15,Rubin Museum of Art,RubinMuseum,http://rubinmuseum.org/
16,P.S.1 Contemporary Art Center,,http://www.momaps1.org/
17,Jacques Marchais Museum of Tibetan Art,TibetanMuseum,https://www.tibetanmuseum.org/
18,Dia Art Foundation,diaartfndn,https://www.diaart.org/
